quarter,rf_strategy_ret,dt_strategy_ret,market_ret
Q21,-0.014731424701145721,-0.02526681467535095,-0.019700473175990597
Q22,0.016190264935493612,0.03417810621537773,0.002424878565342127
Q23,0.04110210831287365,-0.01764224128124324,-0.017304673696893563
Q24,0.056539954787899874,0.04023115481063806,0.023256278878321397
Q25,0.018856740238489777,0.014432545193737295,-0.051851184613046344
Q26,-0.04060858536976046,-0.07333475582368149,-0.03710539111493464
Q27,0.09609933828667348,0.08205973307857138,0.09369332623631406
Q28,0.022774534211926177,0.03724071261634443,0.023954990754120758
Q29,0.11325100446650542,0.08903936278112473,0.07330223225675392
Q30,0.019199912053258616,0.03844502588190709,0.002125227406630566
Q31,0.022067970161260553,0.03127774977499608,-0.017843553455984814
Q32,0.07767043956472268,0.043393098970776596,0.024595325089646146
